query_table,query_value,candidate_table,candidate_value
soccertournament_left,2005 setanta sports cup,soccertournament_right,2005 setanta cup
televisionstation_left,star pravah,televisionstation_right,star pravah
case_left,mobile life insurance company v. brame,case_right,mobile life insurance co. v. brame
governmentagency_left,ministry of drinking water and sanitation (india),governmentagency_right,ministry of drinking water and sanitation
motorsportseason_left,2012 german formula three season,motorsportseason_right,2012 german formula three championship
motorsportseason_left,2009 nascar canadian tire series season,motorsportseason_right,2009 nascar canadian tire series
unitofwork_left,carter v. carter coal company,unitofwork_right,carter v. carter coal co.
song_left,lazy sunday,song_right,lazy sunday (the lonely island song)
memberofparliament_left,abdul jolil (bangladesh politician),memberofparliament_right,abdul jalil (bangladesh politician)
ethnicgroup_left,asturian american,ethnicgroup_right,asturian americans
governmentagency_left,"ministry of education, culture and higher education (somalia)",governmentagency_right,ministry of education and culture (somalia)
christianbishop_left,james byrne (bishop),christianbishop_right,james joseph byrne
artwork_left,the bohemian (bouguereau painting),artwork_right,the bohemian (bouguereau)
politicalparty_left,popular unity candidates,politicalparty_right,popular unity candidacy
sportfacility_left,prince abdullah al-faisal stadium,sportfacility_right,prince abdullah al faisal stadium
election_left,"elections to the aragonese corts, 1991",election_right,"aragonese parliamentary election, 1991"
legislature_left,consultative council (bahrain),legislature_right,consultative council of bahrain
venue_left,sleep country amphitheater,venue_right,amphitheater northwest
stadium_left,united stadium of chiangrai,stadium_right,united stadium of chiang rai
motorsportseason_left,2011 world touring car championship season,motorsportseason_right,2011 world touring car championship
legislature_left,secretariat of the communist party of china central committee,legislature_right,secretariat of the communist party of china
legislature_left,chamber of deputies (rwanda),legislature_right,chamber of deputies of rwanda
givenname_left,madeleine (given name),givenname_right,madeleine (name)
televisionstation_left,sky show,televisionstation_right,sky show
election_left,"camden council election, 2006",election_right,"camden london borough council election, 2006"
christianbishop_left,patriarch maximus iv of constantinople,christianbishop_right,maximus iv of constantinople
railwayline_left,kirnitzschtal tramway,railwayline_right,kirnitzschtal tramway
ethnicgroup_left,bulgarians of croatia,ethnicgroup_right,bulgarians in croatia
railwayline_left,orange line (montreal metro),railwayline_right,line 2 orange (montreal metro)
tournament_left,2011 bell challenge,tournament_right,2011 challenge bell
reptile_left,earless skink,reptile_right,earless skink
motorsportseason_left,2009 formula renault 3.5 series season,motorsportseason_right,2009 formula renault 3.5 series
footballleagueseason_left,2012 j. league division 2,footballleagueseason_right,2012 j.league division 2
governmentagency_left,"department of agriculture, fisheries and forestry (australia)",governmentagency_right,department of agriculture and water resources
motorsportseason_left,2007 nascar canadian tire series season,motorsportseason_right,2007 nascar canadian tire series
monarch_left,"yusuf ii, almohad caliph",monarch_right,"yusuf ii, almohad caliph"
legislature_left,chamber of deputies (brazil),legislature_right,chamber of deputies of brazil
artwork_left,wall street (1915 photograph),artwork_right,wall street (photograph)
basketballteam_left,halcones uv xalapa,basketballteam_right,halcones de xalapa
legislature_left,house of representatives (trinidad and tobago),legislature_right,house of representatives of trinidad and tobago
stadium_left,the float at marina bay,stadium_right,the float@marina bay
legislature_left,senate (cambodia),legislature_right,senate of cambodia
venue_left,lithuanian hall,venue_right,"lithuanian hall (baltimore, maryland)"
hospital_left,tillamook county general hospital,hospital_right,tillamook regional medical center
tournament_left,2010 uefa european under-19 football championship,tournament_right,2010 uefa european under-19 championship
givenname_left,abid,givenname_right,abid (name)
tournament_left,1990 uefa european under-18 football championship,tournament_right,1990 uefa european under-18 championship
motorsportseason_left,2009 fia formula two championship season,motorsportseason_right,2009 fia formula two championship
monarch_left,muhammed saadatullah khan i,monarch_right,saadatullah khan i
museum_left,heeresgeschichtliches museum,museum_right,"museum of military history, vienna"
legislature_left,"urban council, hong kong",legislature_right,urban council (hong kong)
basketballteam_left,galatasaray medical park (men's basketball),basketballteam_right,galatasaray s.k. (men's basketball)
reptile_left,red-headed krait,reptile_right,red-headed krait
sportfacility_left,laurel park (race track),sportfacility_right,laurel park racecourse
motorsportseason_left,2001 grand american road racing championship season,motorsportseason_right,2001 grand american road racing championship
race_left,carlyon cup,race_right,t.s. carlyon cup
naturalevent_left,1932 jalisco earthquake,naturalevent_right,1932 jalisco earthquakes
reptile_left,northern water snake,reptile_right,northern water snake
governmentagency_left,ministry of labour and social solidarity,governmentagency_right,"ministry of labour, solidarity and social security"
tennistournament_left,2011 aegon championships,tennistournament_right,2011 aegon championships
rugbyleague_left,saint patrick's day test,rugbyleague_right,st. patrick's day test
amphibian_left,mimic toadlet,amphibian_right,mimic toadlet
clericaladministrativeregion_left,anglican diocese of makurdi,clericaladministrativeregion_right,diocese of makurdi
election_left,"greenlandic parliamentary election, 2013",election_right,"greenlandic general election, 2013"
shoppingmall_left,the galleria (houston),shoppingmall_right,the galleria
railwayline_left,inter-terminal train (george bush intercontinental airport),railwayline_right,george bush intercontinental airport inter-terminal train
amphibian_left,boreal toad,amphibian_right,boreal toad
clericaladministrativeregion_left,madhya kerala diocese,clericaladministrativeregion_right,diocese of madhya kerala of the church of south india
case_left,beech aircraft corporation v. rainey,case_right,beech aircraft corp. v. rainey
noble_left,"frederick casimir, count of hanau-lichtenberg",noble_right,"friedrich casimir, count of hanau-lichtenberg"
artwork_left,cafe gurzuf (painting),artwork_right,cafe gurzuf
monarch_left,monunius i of dardania,monarch_right,monunius
clericaladministrativeregion_left,syro-malabar catholic diocese of satna,clericaladministrativeregion_right,syro-malabar catholic eparchy of satna
shoppingmall_left,metropolis at metrotown,shoppingmall_right,metrotown
shoppingmall_left,newpark mall,shoppingmall_right,newpark mall
governmentagency_left,"department of agriculture, fisheries and forestry (queensland)",governmentagency_right,primary industries and fisheries
amphibian_left,glauert's froglet,amphibian_right,glauert's froglet
soccerleague_left,3. liga (slovakia),soccerleague_right,slovak third league
soccerclubseason_left,2013 down senior football season,soccerclubseason_right,2013 down football season
televisionstation_left,wvtx-ca,televisionstation_right,wvtx-cd
award_left,2008 grammy awards,award_right,50th grammy awards
memberofparliament_left,frank hatton (uk politician),memberofparliament_right,frank hatton (british politician)
memberofparliament_left,"michael spicer, baron spicer",memberofparliament_right,michael spicer
unitofwork_left,taylor v. standard gas and electric company,unitofwork_right,taylor v. standard gas co.
amphibian_left,hidden-ear frog,amphibian_right,hidden-ear frog
ethnicgroup_left,japanese cuban,ethnicgroup_right,japanese cubans
artwork_left,madonna and child playing with the veil,artwork_right,madonna and child playing with the veil
venue_left,jacobs pavilion at nautica,venue_right,jacobs pavilion
venue_left,the palladium at the center for performing arts,venue_right,the palladium at the center for the performing arts
legislature_left,national assembly (togo),legislature_right,national assembly of togo
historicbuilding_left,prem mandir,historicbuilding_right,"sacred heart syro-malabar cathedral, rajkot"
stadium_left,penang international sports arena,stadium_right,spice indoor stadium
motorsportseason_left,2013 world rally championship-3 season,motorsportseason_right,2013 world rally championship-3
device_left,dahong palay,device_right,dahong palay
historicbuilding_left,st. john's church (saint petersburg),historicbuilding_right,"st. john's church (st. petersburg, russia)"
soccertournament_left,beach soccer world cup 1995,soccertournament_right,1995 beach soccer world championship
amphibian_left,revealed frog,amphibian_right,revealed frog
amphibian_left,brown tree frog,amphibian_right,brown tree frog
historicbuilding_left,our lady of victories church,historicbuilding_right,"our lady of victories church, valletta"
sportsleague_left,south american women's sevens championship,sportsleague_right,south american women's sevens
